Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
FRA,2000-01-01,2000-01-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2000,2000,,76.500000,X,base year is 2015
FRA,2001-01-01,2001-01-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2001,2001,,79.210000,X,base year is 2015
FRA,2002-01-01,2002-01-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2002,2002,,84.440000,X,base year is 2015
FRA,2003-01-01,2003-01-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2003,2003,,84.830000,X,base year is 2015
FRA,2004-01-01,2004-01-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2004,2004,,86.590000,X,base year is 2015
FRA,2005-01-01,2005-01-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2005,2005,,86.050000,X,base year is 2015
FRA,2006-01-01,2006-01-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2006,2006,,87.120000,X,base year is 2015
FRA,2007-01-01,2007-01-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2007,2007,,88.590000,X,base year is 2015
FRA,2008-01-01,2008-01-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2008,2008,,92.500000,X,base year is 2015
FRA,2009-01-01,2009-01-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2009,2009,,94.590000,X,base year is 2015
FRA,2010-01-01,2010-01-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2010,2010,,94.420000,X,base year is 2015
FRA,2011-01-01,2011-01-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2011,2011,,94.480000,X,base year is 2015
FRA,2012-01-01,2012-01-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2012,2012,,97.860000,X,base year is 2015
FRA,2013-01-01,2013-01-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2013,2013,,99.810000,X,base year is 2015
FRA,2014-01-01,2014-01-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2014,2014,,99.920000,X,base year is 2015
FRA,2015-01-01,2015-01-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2015,2015,,99.540000,X,base year is 2015
FRA,2016-01-01,2016-01-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2016,2016,,99.860000,X,base year is 2015
FRA,2017-01-01,2017-01-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2017,2017,,101.230000,X,base year is 2015
FRA,2018-01-01,2018-01-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2018,2018,,102.510000,X,base year is 2015
FRA,2019-01-01,2019-01-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2019,2019,,105.440000,X,base year is 2015
FRA,2020-01-01,2020-01-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2020,2020,,107.470000,X,base year is 2015
FRA,2021-01-01,2021-01-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2021,2021,,108.570000,X,base year is 2015
FRA,2022-01-01,2022-01-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2022,2022,,110.410000,X,base year is 2015
FRA,2023-01-01,2023-01-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7001,January,2023,2023,,126.040000,X,base year is 2015
FRA,2000-02-01,2000-02-29,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2000,2000,,76.790000,X,base year is 2015
FRA,2001-02-01,2001-02-28,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2001,2001,,79.520000,X,base year is 2015
FRA,2002-02-01,2002-02-28,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2002,2002,,84.210000,X,base year is 2015
FRA,2003-02-01,2003-02-28,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2003,2003,,85.200000,X,base year is 2015
FRA,2004-02-01,2004-02-29,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2004,2004,,86.180000,X,base year is 2015
FRA,2005-02-01,2005-02-28,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2005,2005,,86.560000,X,base year is 2015
FRA,2006-02-01,2006-02-28,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2006,2006,,87.580000,X,base year is 2015
FRA,2007-02-01,2007-02-28,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2007,2007,,88.200000,X,base year is 2015
FRA,2008-02-01,2008-02-29,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2008,2008,,92.650000,X,base year is 2015
FRA,2009-02-01,2009-02-28,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2009,2009,,94.590000,X,base year is 2015
FRA,2010-02-01,2010-02-28,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2010,2010,,94.490000,X,base year is 2015
FRA,2011-02-01,2011-02-28,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2011,2011,,94.800000,X,base year is 2015
FRA,2012-02-01,2012-02-29,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2012,2012,,98.390000,X,base year is 2015
FRA,2013-02-01,2013-02-28,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2013,2013,,99.850000,X,base year is 2015
FRA,2014-02-01,2014-02-28,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2014,2014,,99.750000,X,base year is 2015
FRA,2015-02-01,2015-02-28,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2015,2015,,99.740000,X,base year is 2015
FRA,2016-02-01,2016-02-29,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2016,2016,,99.820000,X,base year is 2015
FRA,2017-02-01,2017-02-28,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2017,2017,,101.510000,X,base year is 2015
FRA,2018-02-01,2018-02-28,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2018,2018,,102.360000,X,base year is 2015
FRA,2019-02-01,2019-02-28,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2019,2019,,105.520000,X,base year is 2015
FRA,2020-02-01,2020-02-29,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2020,2020,,107.390000,X,base year is 2015
FRA,2021-02-01,2021-02-28,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2021,2021,,108.310000,X,base year is 2015
